Id,SalePrice
2658,126782.36330862716
2718,166334.1405357048
2414,208121.84281599894
1989,112232.62423539907
625,174653.06885091215
333,94526.88644035906
1327,99956.12166739628
858,151550.55894350633
95,205761.49235911667
1568,170437.50897033513
2482,154090.35237386078
1364,111335.86445486546
2584,154833.7940263264
818,276212.89005019516
2673,161482.148798991
2089,153383.82820914686
1297,166180.75995805487
790,118557.37637043744
2616,205043.6902501732
720,194068.03009304777
222,154457.80053239316
557,139368.3607175909
1148,195583.00432128087
2766,188273.34206240997
534,168562.1005776152
1452,119049.67639547586
630,135836.1722106114
2648,127480.39154339582
125,158713.01560188085
1904,63373.666208557785
1670,103379.72838006169
756,87791.72389120609
717,257238.6660347581
1032,163017.66296504065
852,197755.13047341257
1731,190091.4181739092
2639,116929.92914641649
2071,64312.31737688556
1267,110495.55308654904
1851,191703.59327587485
567,168352.3833301328
2439,212915.94787390158
1898,144646.71194920316
647,132853.64480172098
2256,207122.31015690044
979,90646.56591343507
1444,225584.56300273538
2485,135923.3546344787
157,118944.0513346009
88,141950.04155332595
2003,112528.48864568397
186,195955.6798201464
1425,250078.55697061121
2695,121597.17828955874
738,98254.0640412867
395,152022.51721421257
1353,160175.04541766644
1878,146506.33699032292
390,169460.33746285364
1456,233052.82391772792
1103,324235.82629317045
1387,122316.53505559638
2070,141493.73474545404
1199,174274.8844649233
2479,173351.44398195297
501,301883.0396477692
2362,113201.12571358308
1718,199138.19409943745
2188,78453.72542667761
1483,150489.99483523518
2557,92356.39726378769
437,363728.5839447938
2224,195713.88747218996
1628,153550.5674485527
397,143702.92533562332
587,216523.99811812863
971,159681.6292431578
2611,130549.1533588916
1887,108849.10999650136
2399,386890.72565203905
2148,195382.45739541203
304,119381.32138903067
1997,138283.42753665894
2817,127406.13227089867
1431,208776.40458769724
427,389565.99986379594
263,113026.88292115927
598,157909.05092144012
2895,211859.33408964798
687,129878.668755956
1822,146117.597644452
2191,91087.52766077965
179,124885.1645020917
1009,211044.5924777463
2010,114782.20025945827
1991,144153.7026000917
1411,153671.45087757334
1721,217617.3442857042
1144,191866.7921244651
593,205775.06890080497
575,292035.7180401385
1249,161085.50210728124
1604,134877.05685804412
1064,503573.00438529253
1923,172625.37438318506
1988,84075.32174675912
2325,166441.9222815372
114,205468.49715103582
2700,150336.45247910917
217,125092.72712621093
343,185893.47891289368
386,219289.1578162834
2005,134065.29768828675
2908,156504.6854906343
1814,244970.41360099986
2446,555536.1538954116
208,148401.21098473668
1679,103410.15430532023
822,363348.6557953097
6,192745.1756357625
1781,422035.64690971375
2397,297321.29494708776
2340,329558.133670792
1618,164522.46023639664
2843,124749.6130890809
1061,377686.39464109764
2786,120347.91897921264
1935,138666.1580917649
1341,119862.25503900275
521,275115.9255387224
2136,133326.78774560988
996,196663.38973838836
227,147150.7386151515
135,180416.80380531773
1167,175155.8591170311
294,240751.01686741412
1776,192516.1607200466
540,178484.31313000992
1717,209929.62365310267
2303,139572.99284645915
116,185383.3316348903
127,143440.58810418472
1371,134163.78518972918
1014,193445.68860903382
1507,87079.74191859737
702,129221.68129841238
750,145552.76003248245
261,147051.30872566625
1559,99486.1568923518
577,200367.42483990267
2812,192900.37906484306
2080,155742.19272907078
1368,91685.78912276402
2376,121893.25759160519
659,116203.352017764
1235,139037.64273726568
332,83009.74441441521
1917,134681.89981768653
2094,260583.5485461764
1460,263595.30686037615
1471,228731.6315933168
1509,131220.47403904423
1922,130807.19476843998
433,523876.683969561
460,245331.31393532455
1116,231750.61884223297
1137,176621.6776720211
53,150448.2879627049
2354,278669.80756543204
1475,175185.25884302706
1761,593759.3053251468
842,139990.5278373398
2739,197734.94158191234
2509,134319.60751744732
1007,203965.26040656865
2610,179737.29896757752
1952,106908.14572226256
2719,147046.3025042452
2921,83659.78436523303
1966,146813.254451897
292,134116.34379424527
1204,193221.7647080496
1829,255178.35285450518
2419,190775.00672924146
391,145348.0849732794
798,124053.99471759796
481,191817.6064845845
193,212134.58251044527
555,120866.28934485838
899,75008.6633547023
2357,179206.04669024423
328,137375.97690901533
1356,118657.88823915273
1154,110957.32041493431
1730,180317.03750833496
2249,149250.81211591884
1119,282037.3786595464
2856,152596.24997401237
1394,149118.78863919154
2587,110792.93990919366
61,329646.22581274435
2661,186974.65878577158
2711,127559.25477737561
1147,191707.2137521021
757,140293.41456364468
2623,93386.69204668328
2378,137878.20133014023
1413,122747.96293692663
1722,197865.89048866183
1112,223292.27381069958
1623,193130.26124328002
1201,187050.98434965685
1513,130441.08485932276
957,383132.6814596057
1171,258706.34933236614
1145,197399.92572687194
2726,236343.6625808999
703,153667.16536192968
760,79607.01486288384
1964,148431.54356165975
2512,174418.20911227912
159,151692.23677433282
1281,167767.70880551264
468,180848.8410159126
290,115559.25739291683
665,91221.76029197127
1463,263100.9795078039
1792,221861.5350158736
923,145900.85960479453
500,303111.8557195179
1408,204206.80609136075
331,79750.31109685078
170,116777.2541881986
2192,109153.54155158252
2571,347248.2373631634
2314,175033.46730260178
2647,90864.85157666355
422,478068.68700300157
2457,334397.34143489227
1838,202778.0021214299
2805,261125.34781963006
1645,147082.1977931261
1711,289668.88808043674
2825,244635.832048852
322,365805.44798636436
2103,269169.4979990423
342,129943.3414090909
600,112259.81581897661
488,187847.11445713416
1725,320571.26520704105
2246,277064.57472168654
2847,192658.97357295454
806,242726.47099583969
530,235496.57054969296
963,189346.3574140668
2678,94536.19691115245
171,88320.35818171129
2401,478024.6485277936
805,214652.61877273396
2259,188806.5367213376
1748,159403.07072641328
1361,113557.94093396887
1677,119153.72696504742
1406,171766.5791013427
2322,256613.1326859966
688,135999.5989288278
143,141394.96473853663
804,198453.58026267588
1214,178385.15500414371
2828,147821.6821174398
1999,210412.06851010397
2467,199398.53281895444
2665,130574.03751490265
1538,297523.4699910432
398,109342.97635651752
2822,134191.90997720137
2157,134042.9130667746
1856,192091.64515273273
1269,101125.77896507457
2570,119829.15333160013
2320,221478.3150496967
1517,137783.86988648027
2304,120161.35914814472
1312,101174.25533890352
2012,132337.427100081
506,255591.31880246103
2865,188605.7196770087
2367,102156.55088662729
554,91386.41300438344
238,128510.00860245898
1954,107991.83528321236
2488,143473.7894285433
2291,85406.8123620823
1969,111177.39982730895
2725,153741.7992249541
1482,138326.84154376388
2763,198332.83631529287
503,259831.57521850988
1584,255559.06888066605
1531,162938.8044644706
2210,148150.30904212594
459,355127.5376184732
556,123743.50393184647
1347,130481.54794427007
1290,78872.81921199709
1388,120289.05965543166
1571,353741.24230353907
2754,201957.03712970763
765,168025.74142012745
2494,138215.17818111926
2870,185520.49567998573
7,226610.910445787
1114,258221.4288754277
2418,279589.568884179
291,138979.25440689176
18,397059.1141150631
39,414223.62517558783
1001,290602.6659893654
2442,238987.05773552135
616,113456.43833395839
2680,70047.58641836792
1414,120254.29797166958
289,144219.3176322654
40,252358.2112523839
860,128913.53196523711
409,138230.24429309368
673,137374.77828573063
2427,172453.22763259336
2036,215856.9686743915
2564,144350.7567723766
642,154087.42448602617
1008,188474.04278710112
1908,167296.85380774364
2519,199178.38818000257
1369,80841.99768858403
2855,175134.51048524305
712,90687.8914970234
1943,122335.25006895885
1958,126501.40153570846
107,133500.7899351418
2295,200257.43014232442
704,96965.53552436456
676,129299.15241957828
259,179359.37732666358
93,294095.4891015403
106,229909.30767763406
2315,191093.19466851652
1050,118406.57115893066
1095,210429.34694314748
2709,145695.25004611164
758,129896.36418320239
1496,167317.27745879814
